
2025/07/17 (15:49:38) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (15:56:05) | ===> btop++ v.1.4.0
2025/07/17 (15:56:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/17 (15:56:23) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (16:38:42) | ===> btop++ v.1.4.0
2025/07/17 (16:38:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/17 (16:38:53) | ===> btop++ v.1.4.0
2025/07/17 (16:38:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/17 (16:39:13) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (17:42:56) | ===> btop++ v.1.4.0
2025/07/17 (17:42:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/17 (17:43:03) | WARNING: Failed to join _runner thread on exit!

2025/07/18 (08:59:43) | ===> btop++ v.1.4.0
2025/07/18 (08:59:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/18 (09:00:07) | WARNING: Failed to join _runner thread on exit!

2025/07/18 (09:00:19) | ===> btop++ v.1.4.0
2025/07/18 (09:00:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/18 (09:00:48) | WARNING: Failed to join _runner thread on exit!

2025/07/18 (09:01:02) | ===> btop++ v.1.4.0
2025/07/18 (09:01:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/18 (09:02:06) | WARNING: Failed to join _runner thread on exit!

2025/07/18 (09:02:21) | ===> btop++ v.1.4.0
2025/07/18 (09:02:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/18 (09:16:02) | WARNING: Failed to join _runner thread on exit!

2025/07/18 (09:22:10) | ===> btop++ v.1.4.0
2025/07/18 (09:22:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/18 (09:22:54) | WARNING: Failed to join _runner thread on exit!

2025/07/18 (09:23:27) | ===> btop++ v.1.4.0
2025/07/18 (09:23:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/18 (09:30:36) | ===> btop++ v.1.4.0
2025/07/18 (09:30:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/18 (09:34:01) | WARNING: Failed to join _runner thread on exit!

2025/07/19 (12:50:27) | ===> btop++ v.1.4.0
2025/07/19 (12:50:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/19 (18:57:21) | ===> btop++ v.1.4.0
2025/07/19 (18:57:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/19 (22:28:56) | WARNING: Failed to join _runner thread on exit!

2025/07/20 (08:10:05) | ===> btop++ v.1.4.0
2025/07/20 (08:10:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/20 (08:10:13) | WARNING: Failed to join _runner thread on exit!

2025/07/20 (11:27:00) | ===> btop++ v.1.4.0
2025/07/20 (11:27:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/20 (11:39:44) | WARNING: Failed to join _runner thread on exit!

2025/07/20 (17:23:49) | ===> btop++ v.1.4.0
2025/07/20 (17:23:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/20 (17:26:24) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (08:32:18) | ===> btop++ v.1.4.0
2025/07/21 (08:32:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/21 (08:33:15) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (10:31:04) | ===> btop++ v.1.4.0
